cc_key,year,cc_perm_resident_count
COPPER MOUNTAIN,2020,63.0
COPPER MOUNTAIN,2021,55.0
COPPER MOUNTAIN,2022,38.0
COPPER MOUNTAIN,2023,54.0
COPPER MOUNTAIN,2024,55.0
COPPER MOUNTAIN,2025,55.0
COSUMNES RIVER,2005,10.0
COSUMNES RIVER,2006,20.0
COSUMNES RIVER,2007,32.0
COSUMNES RIVER,2008,30.0
COSUMNES RIVER,2009,77.0
COSUMNES RIVER,2010,105.0
COSUMNES RIVER,2011,134.0
COSUMNES RIVER,2012,137.0
COSUMNES RIVER,2013,95.0
COSUMNES RIVER,2014,66.0
COSUMNES RIVER,2015,64.0
COSUMNES RIVER,2016,58.0
COSUMNES RIVER,2017,65.0
COSUMNES RIVER,2018,63.0
COSUMNES RIVER,2019,14421.0
COSUMNES RIVER,2020,14640.0
COSUMNES RIVER,2021,14913.0
COSUMNES RIVER,2022,14052.0
COSUMNES RIVER,2023,1304.0
COSUMNES RIVER,2024,1309.0
COSUMNES RIVER,2025,1281.0
CRAFTON HILLS,2005,2098.0
CRAFTON HILLS,2006,1380.0
CRAFTON HILLS,2007,956.0
CRAFTON HILLS,2008,772.0
CRAFTON HILLS,2009,900.0
CRAFTON HILLS,2010,924.0
CRAFTON HILLS,2011,704.0
CRAFTON HILLS,2012,677.0
CRAFTON HILLS,2013,7.0
CRAFTON HILLS,2014,6.0
CRAFTON HILLS,2015,4.0
CRAFTON HILLS,2016,1.0
CRAFTON HILLS,2017,2.0
CRAFTON HILLS,2018,5.0
CRAFTON HILLS,2019,6656.0
CRAFTON HILLS,2020,6839.0
CRAFTON HILLS,2021,6022.0
CRAFTON HILLS,2022,5304.0
CRAFTON HILLS,2023,92.0
CRAFTON HILLS,2024,101.0
CRAFTON HILLS,2025,108.0
CUESTA,2005,3.0
CUESTA,2006,4.0
CUESTA,2007,1.0
CUESTA,2008,2.0
CUESTA,2009,145.0
CUESTA,2010,147.0
CUESTA,2011,102.0
CUESTA,2012,117.0
CUESTA,2013,606.0
CUESTA,2014,594.0
CUESTA,2015,436.0
CUESTA,2016,322.0
CUESTA,2017,348.0
CUESTA,2018,326.0
CUESTA,2019,6380.0
CUESTA,2020,6578.0
CUESTA,2021,5812.0
CUESTA,2022,5116.0
CUESTA,2023,270.0
CUESTA,2024,220.0
CUESTA,2025,226.0
CUYAMACA,2005,158.0
CUYAMACA,2006,138.0
CUYAMACA,2007,142.0
CUYAMACA,2008,151.0
CUYAMACA,2009,361.0
CUYAMACA,2010,408.0
CUYAMACA,2011,450.0
CUYAMACA,2012,484.0
CUYAMACA,2013,848.0
CUYAMACA,2014,982.0
CUYAMACA,2015,1093.0
CUYAMACA,2016,1241.0
CUYAMACA,2017,1415.0
CUYAMACA,2018,1477.0
CUYAMACA,2019,11633.0
CUYAMACA,2020,11873.0
CUYAMACA,2021,10250.0
CUYAMACA,2022,10260.0
CUYAMACA,2023,1021.0
CUYAMACA,2024,993.0
CUYAMACA,2025,1036.0
CYPRESS,2005,1486.0
CYPRESS,2006,1347.0
CYPRESS,2007,1341.0
CYPRESS,2008,1343.0
CYPRESS,2009,26333.0
CYPRESS,2010,25418.0
CYPRESS,2011,23838.0
CYPRESS,2012,24320.0
CYPRESS,2013,515.0
CYPRESS,2014,570.0
CYPRESS,2015,575.0
CYPRESS,2016,544.0
CYPRESS,2017,508.0
CYPRESS,2018,518.0
CYPRESS,2019,6724.0
CYPRESS,2020,6733.0
CYPRESS,2021,6898.0
CYPRESS,2022,6387.0
CYPRESS,2023,761.0
CYPRESS,2024,734.0
CYPRESS,2025,710.0
DEANZA,2005,3628.0
DEANZA,2006,3533.0
DEANZA,2007,3394.0
DEANZA,2008,3502.0
DEANZA,2009,11843.0
DEANZA,2010,12481.0
DEANZA,2011,12230.0
DEANZA,2012,10484.0
DEANZA,2013,79.0
DEANZA,2014,73.0
DEANZA,2015,92.0
DEANZA,2016,118.0
DEANZA,2017,178.0
DEANZA,2018,180.0
DEANZA,2019,13934.0
DEANZA,2020,13942.0
DEANZA,2021,13670.0
DEANZA,2022,12345.0
DEANZA,2023,1824.0
DEANZA,2024,1803.0
DEANZA,2025,1723.0
DESERT,2005,1010.0
DESERT,2006,927.0
DESERT,2007,907.0
DESERT,2008,934.0
DESERT,2009,140.0
DESERT,2010,131.0
DESERT,2011,168.0
DESERT,2012,238.0
DESERT,2013,515.0
DESERT,2014,534.0
DESERT,2015,523.0
DESERT,2016,530.0
DESERT,2017,567.0
DESERT,2018,568.0
DESERT,2019,14502.0
DESERT,2020,13971.0
DESERT,2021,14689.0
DESERT,2022,13546.0
DESERT,2023,394.0
DESERT,2024,335.0
DESERT,2025,323.0
DIABLO VALLEY,2005,1358.0
DIABLO VALLEY,2006,1427.0
DIABLO VALLEY,2007,1206.0
DIABLO VALLEY,2008,1134.0
DIABLO VALLEY,2009,1812.0
DIABLO VALLEY,2010,1769.0
DIABLO VALLEY,2011,1723.0
DIABLO VALLEY,2012,1759.0
DIABLO VALLEY,2013,1125.0
DIABLO VALLEY,2014,1178.0
DIABLO VALLEY,2015,1224.0
DIABLO VALLEY,2016,1196.0
DIABLO VALLEY,2017,1254.0
DIABLO VALLEY,2018,1322.0
DIABLO VALLEY,2019,11560.0
DIABLO VALLEY,2020,12136.0
DIABLO VALLEY,2021,10436.0
DIABLO VALLEY,2022,9701.0
DIABLO VALLEY,2023,966.0
DIABLO VALLEY,2024,917.0
DIABLO VALLEY,2025,908.0
EAST LA,2005,1406.0
EAST LA,2006,1514.0
EAST LA,2007,1522.0
EAST LA,2008,1661.0
EAST LA,2009,27430.0
EAST LA,2010,27307.0
EAST LA,2011,24777.0
