cc_name,uc_campus,cc_uc_distance_miles,cc_uc_drive_hours
EL CAMINO,Santa Cruz,355.38,5.97
EVERGREEN VALLEY,Berkeley,56.13,1.15
EVERGREEN VALLEY,Davis,109.49,1.81
EVERGREEN VALLEY,Irvine,381.04,6.03
EVERGREEN VALLEY,Los Angeles,340.09,5.41
EVERGREEN VALLEY,Merced,120.2,2.24
EVERGREEN VALLEY,Riverside,390.73,6.25
EVERGREEN VALLEY,San Diego,472.81,7.47
EVERGREEN VALLEY,University of California-San Francisco,58.25,1.17
EVERGREEN VALLEY,Santa Barbara,279.75,4.44
EVERGREEN VALLEY,Santa Cruz,43.64,0.94
FEATHER RIVER,Berkeley,219.0,3.98
FEATHER RIVER,Davis,154.75,2.88
FEATHER RIVER,Irvine,571.4,9.28
FEATHER RIVER,Los Angeles,530.45,8.69
FEATHER RIVER,Merced,262.31,4.65
FEATHER RIVER,Riverside,581.09,9.5
FEATHER RIVER,San Diego,641.11,10.28
FEATHER RIVER,University of California-San Francisco,229.61,4.1
FEATHER RIVER,Santa Barbara,536.89,8.76
FEATHER RIVER,Santa Cruz,289.0,5.03
FOLSOM LAKE,Berkeley,103.25,1.87
FOLSOM LAKE,Davis,39.0,0.75
FOLSOM LAKE,Irvine,452.66,7.11
FOLSOM LAKE,Los Angeles,411.72,6.49
FOLSOM LAKE,Merced,139.29,2.35
FOLSOM LAKE,Riverside,462.36,7.32
FOLSOM LAKE,San Diego,522.38,8.14
FOLSOM LAKE,University of California-San Francisco,113.85,1.98
FOLSOM LAKE,Santa Barbara,421.14,6.61
FOLSOM LAKE,Santa Cruz,173.24,2.9
FOOTHILL,Berkeley,53.86,1.11
FOOTHILL,Davis,111.97,1.88
FOOTHILL,Irvine,397.17,6.24
FOOTHILL,Los Angeles,356.23,5.62
FOOTHILL,Merced,136.33,2.44
FOOTHILL,Riverside,406.87,6.45
FOOTHILL,San Diego,488.95,7.66
FOOTHILL,University of California-San Francisco,39.51,0.8
FOOTHILL,Santa Barbara,295.89,4.65
FOOTHILL,Santa Cruz,39.86,0.83
FRESNO CITY,Berkeley,184.29,3.2
FRESNO CITY,Davis,207.13,3.5
FRESNO CITY,Irvine,266.44,4.29
FRESNO CITY,Los Angeles,225.49,3.67
FRESNO CITY,Merced,61.7,1.09
FRESNO CITY,Riverside,276.13,4.5
FRESNO CITY,San Diego,358.21,5.68
FRESNO CITY,University of California-San Francisco,195.22,3.36
FRESNO CITY,Santa Barbara,239.19,3.98
FRESNO CITY,Santa Cruz,160.03,2.92
FULLERTON,Berkeley,412.32,6.78
FULLERTON,Davis,435.17,7.07
FULLERTON,Irvine,20.43,0.42
FULLERTON,Los Angeles,28.24,0.55
FULLERTON,Merced,316.37,5.26
FULLERTON,Riverside,41.99,1.11
FULLERTON,San Diego,85.99,1.33
FULLERTON,University of California-San Francisco,423.25,6.94
FULLERTON,Santa Barbara,134.34,2.25
FULLERTON,Santa Cruz,390.64,6.39
GAVILAN,Berkeley,82.46,1.5
GAVILAN,Davis,135.83,2.16
GAVILAN,Irvine,355.9,5.59
GAVILAN,Los Angeles,314.95,4.98
GAVILAN,Merced,95.06,1.84
GAVILAN,Riverside,365.59,5.82
GAVILAN,San Diego,447.67,7.05
GAVILAN,University of California-San Francisco,85.94,1.5
GAVILAN,Santa Barbara,252.83,3.99
GAVILAN,Santa Cruz,45.48,0.99
GLENDALE,Berkeley,369.66,6.01
GLENDALE,Davis,392.5,6.31
GLENDALE,Irvine,51.23,1.06
GLENDALE,Los Angeles,12.88,0.32
GLENDALE,Merced,273.71,4.49
GLENDALE,Riverside,60.67,1.33
GLENDALE,San Diego,117.16,2.02
GLENDALE,University of California-San Francisco,380.59,6.18
GLENDALE,Santa Barbara,103.35,1.73
GLENDALE,Santa Cruz,340.35,5.72
GOLDEN WEST,Berkeley,407.09,6.55
GOLDEN WEST,Davis,429.94,6.86
GOLDEN WEST,Irvine,13.61,0.33
GOLDEN WEST,Los Angeles,29.97,0.6
GOLDEN WEST,Merced,311.14,5.03
GOLDEN WEST,Riverside,51.17,1.35
GOLDEN WEST,San Diego,83.33,1.31
GOLDEN WEST,University of California-San Francisco,418.02,6.72
GOLDEN WEST,Santa Barbara,135.64,2.25
GOLDEN WEST,Santa Cruz,377.79,6.27
GROSSMONT,Berkeley,496.8,7.85
GROSSMONT,Davis,519.65,8.15
GROSSMONT,Irvine,86.93,1.36
GROSSMONT,Los Angeles,122.26,1.91
GROSSMONT,Merced,400.85,6.38
GROSSMONT,Riverside,95.49,1.59
GROSSMONT,San Diego,20.1,0.39
GROSSMONT,University of California-San Francisco,507.73,8.01
GROSSMONT,Santa Barbara,228.36,3.54
GROSSMONT,Santa Cruz,467.5,7.57
HARTNELL,Berkeley,106.62,1.86
HARTNELL,Davis,159.99,2.55
HARTNELL,Irvine,348.65,5.54
HARTNELL,Los Angeles,320.99,5.08
HARTNELL,Merced,115.53,2.13
HARTNELL,Riverside,358.35,5.77
HARTNELL,San Diego,440.43,7.0
HARTNELL,University of California-San Francisco,110.1,1.87
HARTNELL,Santa Barbara,224.91,3.56
HARTNELL,Santa Cruz,39.71,0.87
IMPERIAL VALLEY,Berkeley,583.23,9.44
IMPERIAL VALLEY,Davis,606.07,9.68
IMPERIAL VALLEY,Irvine,200.6,3.49
IMPERIAL VALLEY,Los Angeles,208.15,3.38
IMPERIAL VALLEY,Merced,487.28,7.92
IMPERIAL VALLEY,Riverside,156.37,2.7
IMPERIAL VALLEY,San Diego,126.39,1.99
IMPERIAL VALLEY,University of California-San Francisco,594.16,9.62
IMPERIAL VALLEY,Santa Barbara,317.19,5.05
IMPERIAL VALLEY,Santa Cruz,553.92,9.07
IRVINE VALLEY,Berkeley,413.64,6.68
IRVINE VALLEY,Davis,436.49,6.98
IRVINE VALLEY,Irvine,5.81,0.27
IRVINE VALLEY,Los Angeles,39.1,0.75
IRVINE VALLEY,Merced,317.69,5.15
IRVINE VALLEY,Riverside,43.95,1.01
IRVINE VALLEY,San Diego,70.45,1.14
IRVINE VALLEY,University of California-San Francisco,424.57,6.84
IRVINE VALLEY,Santa Barbara,145.2,2.43
IRVINE VALLEY,Santa Cruz,384.34,6.44
LAKE TAHOE,Berkeley,180.61,3.25
LAKE TAHOE,Davis,116.36,2.14
LAKE TAHOE,Irvine,487.13,8.22
LAKE TAHOE,Los Angeles,446.19,7.63
LAKE TAHOE,Merced,178.37,3.71
LAKE TAHOE,Riverside,442.4,7.72
LAKE TAHOE,San Diego,532.23,8.98
LAKE TAHOE,University of California-San Francisco,191.22,3.36
LAKE TAHOE,Santa Barbara,498.5,8.02
LAKE TAHOE,Santa Cruz,250.61,4.29
LANEY,Berkeley,7.51,0.35
LANEY,Davis,68.56,1.16
LANEY,Irvine,414.38,6.55
LANEY,Los Angeles,373.44,5.92
LANEY,Merced,123.35,2.19
LANEY,Riverside,424.08,6.77
