field,major,enrolls,year,cc_name,uc_campus
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,8,2017,AMERICAN RIVER,Davis
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,12,2017,AMERICAN RIVER,Davis
ENGINEERING,"Aerospace, Aeronautical, and Astronautical/Space Engineering",3,2017,AMERICAN RIVER,Davis
ENGINEERING,Chemical Engineering,4,2017,AMERICAN RIVER,Davis
ENGINEERING,Computer Engineering,3,2017,AMERICAN RIVER,Davis
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",5,2017,AMERICAN RIVER,Davis
FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,"Human Development, Family Studies, and Related Services",10,2017,AMERICAN RIVER,Davis
"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",4,2017,AMERICAN RIVER,Davis
HEALTH PROFESSIONS AND RELATED PROGRAMS,"Pharmacy, Pharmaceutical Sciences, and Administration",9,2017,AMERICAN RIVER,Davis
MATHEMATICS AND STATISTICS,Mathematics,3,2017,AMERICAN RIVER,Davis
MULTI/INTERDISCIPLINARY STUDIES,"Multi/Interdisciplinary Studies, Other",3,2017,AMERICAN RIVER,San Diego
MULTI/INTERDISCIPLINARY STUDIES,Nutrition Sciences,7,2017,AMERICAN RIVER,Davis
NATURAL RESOURCES AND CONSERVATION,Natural Resources Conservation and Research,5,2017,AMERICAN RIVER,Davis
PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,3,2017,AMERICAN RIVER,Berkeley
PHYSICAL SCIENCES,Chemistry,4,2017,AMERICAN RIVER,Davis
PHYSICAL SCIENCES,Physics,3,2017,AMERICAN RIVER,Davis
PSYCHOLOGY,Research and Experimental Psychology,9,2017,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Anthropology,4,2017,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Economics,6,2017,AMERICAN RIVER,Davis
