year,college,eops_headcount,eops_care_headcount
2017,Cabrillo,448.0,57.0
2017,Canada,438.0,25.0
2017,Canyons,597.0,32.0
2017,Cerritos,1166.0,62.0
2017,Cerro Coso,366.0,28.0
2017,Chabot Hayward,407.0,42.0
2017,Chaffey,900.0,75.0
2017,Citrus,754.0,28.0
2017,Clovis,285.0,40.0
2017,Coalinga College,209.0,25.0
2017,Coastline,393.0,10.0
2017,Columbia,307.0,18.0
2017,Compton,827.0,120.0
2017,Contra Costa,747.0,56.0
2017,Copper Mountain College,187.0,38.0
2017,Cosumnes River,654.0,54.0
2017,Crafton Hills,448.0,40.0
2017,Cuesta,270.0,59.0
2017,Cuyamaca,975.0,53.0
2017,Cypress,800.0,57.0
2017,Deanza,877.0,8.0
2017,Desert,426.0,65.0
2017,Diablo Valley,813.0,45.0
2017,East LA,1770.0,111.0
2017,El Camino,1687.0,133.0
2017,Evergreen Valley,673.0,32.0
2017,Feather River,125.0,7.0
2017,Folsom Lake,274.0,35.0
2017,Foothill,426.0,13.0
2017,Fresno City,1844.0,121.0
2017,Fullerton,1505.0,94.0
2017,Gavilan,445.0,56.0
2017,Glendale,2095.0,22.0
2017,Golden West,903.0,29.0
2017,Grossmont,1083.0,103.0
2017,Hartnell,619.0,63.0
2017,Imperial,1276.0,155.0
2017,Irvine,746.0,25.0
2017,LA City,2481.0,90.0
2017,LA Harbor,762.0,54.0
2017,LA Mission,741.0,47.0
2017,LA Pierce,1273.0,35.0
2017,LA Swest,615.0,20.0
2017,LA Trade,2341.0,190.0
2017,LA Valley,1246.0,53.0
2017,Lake Tahoe,158.0,10.0
2017,Laney,816.0,120.0
2017,Las Positas,251.0,8.0
2017,Lassen,182.0,19.0
2017,Lemoore College,274.0,26.0
2017,Long Beach,1464.0,95.0
2017,Los Medanos,676.0,70.0
2017,Marin,327.0,27.0
2017,Mendocino,467.0,15.0
2017,Merced,1138.0,117.0
2017,Merritt,504.0,45.0
2017,MiraCosta,677.0,52.0
2017,Mission,505.0,27.0
2017,Modesto,1279.0,78.0
2017,Monterey,708.0,88.0
2017,Moorpark,461.0,27.0
2017,Moreno Valley,447.0,30.0
2017,Mt San Antonio,1015.0,72.0
2017,Mt. San Jacinto,465.0,74.0
2017,Napa,325.0,18.0
2017,Norco,378.0,23.0
2017,Ohlone,243.0,15.0
2017,Orange Coast,1526.0,61.0
2017,Oxnard,920.0,106.0
2017,Palo Verde,486.0,27.0
2017,Palomar,1018.0,37.0
2017,Pasadena,910.0,34.0
2017,Porterville,733.0,67.0
2017,Redwoods,743.0,45.0
2017,Reedley College,998.0,45.0
2017,Rio Hondo,1415.0,107.0
2017,Riverside,939.0,52.0
2017,Sacramento City,1133.0,55.0
2017,Saddleback,506.0,25.0
2017,San Bernardino,860.0,35.0
2017,San Diego City,1232.0,58.0
2017,San Diego Mesa,737.0,18.0
2017,San Diego Miramar,569.0,20.0
2017,San Francisco,1090.0,62.0
2017,San Joaquin Delta,917.0,97.0
2017,San Jose City,787.0,34.0
2017,San Mateo,404.0,7.0
2017,Santa Ana,1473.0,35.0
2017,Santa Barbara,1114.0,52.0
2017,Santa Monica,1155.0,28.0
2017,Santa Rosa,726.0,30.0
2017,Santiago Canyon,399.0,15.0
2017,Sequoias,1070.0,120.0
2017,Shasta,807.0,46.0
2017,Sierra,711.0,70.0
2017,Siskiyous,260.0,10.0
2017,Skyline,360.0,23.0
2017,Solano,270.0,23.0
2017,Southwestern,2218.0,96.0
2017,Taft,297.0,18.0
2017,Ventura,703.0,33.0
2017,Victor Valley,1274.0,56.0
2017,West LA,673.0,44.0
2017,West Valley,370.0,10.0
2017,Woodland,463.0,34.0
2017,Yuba,752.0,51.0
2018,Alameda,572.0,44.0
2018,Allan Hancock,994.0,113.0
2018,American River,1200.0,84.0
2018,Antelope Valley,775.0,107.0
2018,Bakersfield,1368.0,97.0
2018,Barstow,461.0,68.0
2018,Berkeley City,286.0,9.0
2018,Butte,1186.0,88.0
2018,Cabrillo,461.0,52.0
2018,Canada,394.0,21.0
2018,Canyons,556.0,32.0
2018,Cerritos,1195.0,54.0
2018,Cerro Coso,395.0,24.0
2018,Chabot Hayward,413.0,41.0
2018,Chaffey,963.0,60.0
2018,Citrus,782.0,20.0
2018,Clovis,331.0,56.0
2018,Coalinga College,263.0,22.0
2018,Coastline,388.0,12.0
2018,Columbia,318.0,23.0
2018,Compton,705.0,125.0
2018,Contra Costa,812.0,38.0
2018,Copper Mountain College,179.0,48.0
2018,Cosumnes River,674.0,42.0
2018,Crafton Hills,453.0,50.0
2018,Cuesta,278.0,60.0
2018,Cuyamaca,1053.0,49.0
2018,Cypress,841.0,52.0
2018,Deanza,839.0,2.0
2018,Desert,416.0,76.0
2018,Diablo Valley,804.0,40.0
2018,East LA,2102.0,82.0
2018,El Camino,1720.0,134.0
2018,Evergreen Valley,723.0,21.0
2018,Feather River,129.0,5.0
2018,Folsom Lake,290.0,24.0
2018,Foothill,422.0,8.0
2018,Fresno City,1971.0,147.0
2018,Fullerton,1448.0,97.0
2018,Gavilan,446.0,80.0
2018,Glendale,2082.0,33.0
2018,Golden West,884.0,19.0
2018,Grossmont,1053.0,130.0
2018,Hartnell,631.0,61.0
2018,Imperial,1331.0,161.0
2018,Irvine,724.0,17.0
2018,LA City,2305.0,83.0
2018,LA Harbor,763.0,64.0
2018,LA Mission,671.0,28.0
2018,LA Pierce,1153.0,13.0
2018,LA Swest,620.0,42.0
2018,LA Trade,1701.0,165.0
2018,LA Valley,1167.0,49.0
2018,Lake Tahoe,175.0,5.0
2018,Laney,931.0,94.0
2018,Las Positas,285.0,13.0
2018,Lassen,241.0,14.0
2018,Lemoore College,314.0,22.0
2018,Long Beach,1710.0,113.0
2018,Los Medanos,674.0,50.0
2018,Marin,307.0,28.0
2018,Mendocino,513.0,22.0
2018,Merced,1098.0,119.0
2018,Merritt,579.0,40.0
2018,MiraCosta,575.0,38.0
2018,Mission,408.0,26.0
2018,Modesto,1322.0,91.0
2018,Monterey,730.0,68.0
2018,Moorpark,495.0,29.0
2018,Moreno Valley,499.0,38.0
2018,Mt San Antonio,1294.0,84.0
2018,Mt. San Jacinto,478.0,54.0
2018,Napa,321.0,14.0
2018,Norco,444.0,27.0
2018,Ohlone,273.0,13.0
2018,Orange Coast,1319.0,41.0
2018,Oxnard,874.0,99.0
2018,Palo Verde,671.0,18.0
2018,Palomar,894.0,41.0
2018,Pasadena,924.0,39.0
2018,Porterville,720.0,77.0
2018,Redwoods,680.0,53.0
2018,Reedley College,1005.0,59.0
2018,Rio Hondo,1564.0,114.0
2018,Riverside,1031.0,67.0
2018,Sacramento City,1132.0,59.0
2018,Saddleback,518.0,25.0
2018,San Bernardino,825.0,40.0
2018,San Diego City,1237.0,73.0
2018,San Diego Mesa,1097.0,41.0
2018,San Diego Miramar,858.0,21.0
2018,San Francisco,1204.0,55.0
2018,San Joaquin Delta,1016.0,85.0
2018,San Jose City,793.0,23.0
2018,San Mateo,408.0,3.0
2018,Santa Ana,1529.0,35.0
2018,Santa Barbara,1141.0,32.0
2018,Santa Monica,1020.0,23.0
2018,Santa Rosa,733.0,27.0
2018,Santiago Canyon,412.0,11.0
2018,Sequoias,1103.0,105.0
2018,Shasta,941.0,65.0
2018,Sierra,742.0,81.0
2018,Siskiyous,259.0,9.0
2018,Skyline,428.0,13.0
2018,Solano,206.0,19.0
2018,Southwestern,2301.0,91.0
2018,Taft,310.0,17.0
2018,Ventura,773.0,23.0
2018,Victor Valley,1330.0,135.0
2018,West LA,558.0,38.0
2018,West Valley,364.0,9.0
2018,Woodland,453.0,46.0
2018,Yuba,778.0,50.0
2019,Alameda,638.0,37.0
2019,Allan Hancock,1087.0,97.0
2019,American River,1183.0,64.0
2019,Antelope Valley,760.0,102.0
2019,Bakersfield,1847.0,116.0
2019,Barstow,526.0,72.0
2019,Berkeley City,262.0,7.0
2019,Butte,1106.0,76.0
