cc_name,uc_name,cc_lat,cc_lon,uc_lat,uc_lon,distance_meters,duration_seconds,status
College of Alameda,University of California-Riverside,37.781017,-122.279303,33.97246,-117.32741,685483,24612,OK
College of Alameda,University of California-San Diego,37.781017,-122.279303,32.877749,-117.235866,817580,28853,OK
College of Alameda,University of California-San Francisco,37.781017,-122.279303,37.763737,-122.458489,27345,1911,OK
College of Alameda,University of California-Santa Barbara,37.781017,-122.279303,34.416297,-119.846426,520406,18699,OK
College of Alameda,University of California-Santa Cruz,37.781017,-122.279303,36.995584,-122.058801,120104,5167,OK
College of Marin,University of California-Berkeley,37.951918,-122.548758,37.871918,-122.260463,33687,2306,OK
College of Marin,University of California-Davis,37.951918,-122.548758,38.539667,-121.749567,116921,4692,OK
College of Marin,University of California-Irvine,37.951918,-122.548758,33.648434,-117.841248,703485,24921,OK
College of Marin,University of California-Los Angeles,37.951918,-122.548758,34.066927,-118.168965,637594,22672,OK
College of Marin,University of California-Merced,37.951918,-122.548758,37.366237,-120.424944,235114,9053,OK
College of Marin,University of California-Riverside,37.951918,-122.548758,33.97246,-117.32741,719092,25697,OK
College of Marin,University of California-San Diego,37.951918,-122.548758,32.877749,-117.235866,851188,29873,OK
College of Marin,University of California-San Francisco,37.951918,-122.548758,37.763737,-122.458489,28032,1758,OK
College of Marin,University of California-Santa Barbara,37.951918,-122.548758,34.416297,-119.846426,555470,20010,OK
College of Marin,University of California-Santa Cruz,37.951918,-122.548758,36.995584,-122.058801,155169,6401,OK
College of San Mateo,University of California-Berkeley,37.535698,-122.334801,37.871918,-122.260463,63964,3048,OK
College of San Mateo,University of California-Davis,37.535698,-122.334801,38.539667,-121.749567,152348,6008,OK
College of San Mateo,University of California-Irvine,37.535698,-122.334801,33.648434,-117.841248,668983,23482,OK
College of San Mateo,University of California-Los Angeles,37.535698,-122.334801,34.066927,-118.168965,603092,21241,OK
College of San Mateo,University of California-Merced,37.535698,-122.334801,37.366237,-120.424944,214442,8429,OK
College of San Mateo,University of California-Riverside,37.535698,-122.334801,33.97246,-117.32741,684590,24266,OK
College of San Mateo,University of California-San Diego,37.535698,-122.334801,32.877749,-117.235866,816686,28537,OK
College of San Mateo,University of California-San Francisco,37.535698,-122.334801,37.763737,-122.458489,38391,2043,OK
College of San Mateo,University of California-Santa Barbara,37.535698,-122.334801,34.416297,-119.846426,505986,17771,OK
College of San Mateo,University of California-Santa Cruz,37.535698,-122.334801,36.995584,-122.058801,93944,3949,OK
College of the Canyons,University of California-Berkeley,34.403993,-118.568698,37.871918,-122.260463,549282,19441,OK
College of the Canyons,University of California-Davis,34.403993,-118.568698,38.539667,-121.749567,586046,20484,OK
College of the Canyons,University of California-Irvine,34.403993,-118.568698,33.648434,-117.841248,130995,5145,OK
College of the Canyons,University of California-Los Angeles,34.403993,-118.568698,34.066927,-118.168965,69282,2742,OK
College of the Canyons,University of California-Merced,34.403993,-118.568698,37.366237,-120.424944,394867,14092,OK
College of the Canyons,University of California-Riverside,34.403993,-118.568698,33.97246,-117.32741,141868,5871,OK
College of the Canyons,University of California-San Diego,34.403993,-118.568698,32.877749,-117.235866,237106,8549,OK
College of the Canyons,University of California-San Francisco,34.403993,-118.568698,37.763737,-122.458489,566874,19995,OK
College of the Canyons,University of California-Santa Barbara,34.403993,-118.568698,34.416297,-119.846426,137994,5351,OK
College of the Canyons,University of California-Santa Cruz,34.403993,-118.568698,36.995584,-122.058801,502120,18285,OK
College of the Desert,University of California-Berkeley,33.732108,-116.388271,37.871918,-122.260463,791662,28251,OK
College of the Desert,University of California-Davis,33.732108,-116.388271,38.539667,-121.749567,828426,29439,OK
College of the Desert,University of California-Irvine,33.732108,-116.388271,33.648434,-117.841248,175883,7289,OK
College of the Desert,University of California-Los Angeles,33.732108,-116.388271,34.066927,-118.168965,188026,6818,OK
College of the Desert,University of California-Merced,33.732108,-116.388271,37.366237,-120.424944,637247,22910,OK
College of the Desert,University of California-Riverside,33.732108,-116.388271,33.97246,-117.32741,104695,4547,OK
College of the Desert,University of California-San Diego,33.732108,-116.388271,32.877749,-117.235866,188112,8077,OK
College of the Desert,University of California-San Francisco,33.732108,-116.388271,37.763737,-122.458489,809253,28890,OK
College of the Desert,University of California-Santa Barbara,33.732108,-116.388271,34.416297,-119.846426,363510,12728,OK
