,learning_rate,num_leaves,max_depth,subsample,colsample_bytree,lambda_l2,stopping_rounds,n_estimators,best_iteration,split,train_mse,train_rmse,train_mae,train_r2,valid_mse,valid_rmse,valid_mae,valid_r2,rmse_gap_train_valid
67,0.04,60,5,0.8,0.8,5,200,3000,2155,valid,0.005594108063509982,0.07479377021858159,0.05213876610273787,0.8775134769942878,0.021885898456123005,0.14793883349588438,0.11210053610888933,0.4913858842798591,-0.07314506327730279
121,0.06,90,5,0.8,0.8,0,200,3000,1866,valid,0.0038686206746082414,0.06219823690916199,0.04230999383531792,0.9152941112540004,0.021925253612888978,0.148071785337008,0.11174279439901497,0.49047129590699956,-0.085873548427846
133,0.06,120,5,0.8,0.8,0,200,3000,1866,valid,0.0038686206746082414,0.06219823690916199,0.04230999383531792,0.9152941112540004,0.021925253612888978,0.148071785337008,0.11174279439901497,0.49047129590699956,-0.085873548427846
97,0.06,40,5,0.8,0.8,0,200,3000,1866,valid,0.0038686206746082414,0.06219823690916199,0.04230999383531792,0.9152941112540004,0.021925253612888978,0.148071785337008,0.11174279439901497,0.49047129590699956,-0.085873548427846
109,0.06,60,5,0.8,0.8,0,200,3000,1866,valid,0.0038686206746082414,0.06219823690916199,0.04230999383531792,0.9152941112540004,0.021925253612888978,0.148071785337008,0.11174279439901497,0.49047129590699956,-0.085873548427846
86,0.04,120,7,0.8,0.8,0,200,3000,1268,valid,0.003980739074522958,0.0630930984698244,0.04267409802670248,0.9128392081998215,0.02194599119368802,0.14814179421651413,0.11160191100865975,0.4899893679504469,-0.08504869574668973
74,0.04,90,7,0.8,0.8,0,200,3000,1268,valid,0.003980739074522958,0.0630930984698244,0.04267409802670248,0.9128392081998215,0.02194599119368802,0.14814179421651413,0.11160191100865975,0.4899893679504469,-0.08504869574668973
82,0.04,90,5,0.8,0.8,10,200,3000,2874,valid,0.004559473092814522,0.06752387054082817,0.04616725498037356,0.9001674619909754,0.022068592883548066,0.14855501635269025,0.11238837323446044,0.4871401840250542,-0.08103114581186208
70,0.04,60,5,0.8,0.8,10,200,3000,2874,valid,0.004559473092814522,0.06752387054082817,0.04616725498037356,0.9001674619909754,0.022068592883548066,0.14855501635269025,0.11238837323446044,0.4871401840250542,-0.08103114581186208
58,0.04,40,5,0.8,0.8,10,200,3000,2874,valid,0.004559473092814522,0.06752387054082817,0.04616725498037356,0.9001674619909754,0.022068592883548066,0.14855501635269025,0.11238837323446044,0.4871401840250542,-0.08103114581186208
94,0.04,120,5,0.8,0.8,10,200,3000,2874,valid,0.004559473092814522,0.06752387054082817,0.04616725498037356,0.9001674619909754,0.022068592883548066,0.14855501635269025,0.11238837323446044,0.4871401840250542,-0.08103114581186208
64,0.04,60,5,0.8,0.8,1,200,3000,2053,valid,0.005623862401512264,0.07499241562659696,0.05237659101566533,0.8768619870043091,0.022093044005385244,0.14863729009029075,0.11225165442960608,0.48657195577815293,-0.07364487446369379
76,0.04,90,5,0.8,0.8,1,200,3000,2053,valid,0.005623862401512264,0.07499241562659696,0.05237659101566533,0.8768619870043091,0.022093044005385244,0.14863729009029075,0.11225165442960608,0.48657195577815293,-0.07364487446369379
52,0.04,40,5,0.8,0.8,1,200,3000,2053,valid,0.005623862401512264,0.07499241562659696,0.05237659101566533,0.8768619870043091,0.022093044005385244,0.14863729009029075,0.11225165442960608,0.48657195577815293,-0.07364487446369379
88,0.04,120,5,0.8,0.8,1,200,3000,2053,valid,0.005623862401512264,0.07499241562659696,0.05237659101566533,0.8768619870043091,0.022093044005385244,0.14863729009029075,0.11225165442960608,0.48657195577815293,-0.07364487446369379
48,0.04,40,-1,0.8,0.8,0,200,3000,577,valid,0.005986033222365656,0.0773694592353188,0.05461033725707867,0.8689320285414361,0.02210561340274786,0.14867956619101313,0.1120961584498746,0.48627985111827166,-0.07131010695569434
49,0.04,40,5,0.8,0.8,0,200,3000,2998,valid,0.003785258280039191,0.06152445270003782,0.04157942884230466,0.9171193834411426,0.022208473042472372,0.1490250752137786,0.11273741297839143,0.4838894596611122,-0.0875006225137408
85,0.04,120,5,0.8,0.8,0,200,3000,2998,valid,0.003785258280039191,0.06152445270003782,0.04157942884230466,0.9171193834411426,0.022208473042472372,0.1490250752137786,0.11273741297839143,0.4838894596611122,-0.0875006225137408
61,0.04,60,5,0.8,0.8,0,200,3000,2998,valid,0.003785258280039191,0.06152445270003782,0.04157942884230466,0.9171193834411426,0.022208473042472372,0.1490250752137786,0.11273741297839143,0.4838894596611122,-0.0875006225137408
